dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
PhysionetMotorImagery,riemann_lr,9,roc_auc,5,-0.06662162162162179,-0.006662162162162179,0.45325675675675675,-0.677006217987874,0.20935107564010405
PhysionetMotorImagery,riemann_lr,9,balanced_accuracy,5,-0.08391891891891883,-0.008391891891891884,0.529162162162162,-0.5826874942313439,0.30253233553048636
PhysionetMotorImagery,riemann_lr,9,brier_score,5,0.3013272296123345,0.03013272296123345,0.3201191949119899,0.8475654772740542,0.06978639191138436
PhysionetMotorImagery,riemann_lr,9,ece,5,0.3939578885964056,0.03939578885964057,0.2821105102620282,0.810957497601147,0.09582035972455362
PhysionetMotorImagery,riemann_lr,10,roc_auc,5,-0.1837837837837838,-0.01837837837837838,0.5614324324324326,-0.9186086305700699,0.027531314363287224
PhysionetMotorImagery,riemann_lr,10,balanced_accuracy,5,-0.17804054054054066,-0.017804054054054066,0.569168918918919,-0.8616735597731483,0.06046009994243144
PhysionetMotorImagery,riemann_lr,10,brier_score,5,0.12627197508345936,0.012627197508345936,0.25677482007622254,0.9255893603220285,0.02409232366040426
PhysionetMotorImagery,riemann_lr,10,ece,5,-0.07586161039403977,-0.007586161039403978,0.3113070267357413,-0.7223437661677209,0.16812196738932503
PhysionetMotorImagery,riemann_lr,11,roc_auc,5,-0.44999999999999996,-0.045,0.738,-0.9942770664222823,0.0005192646387469183
PhysionetMotorImagery,riemann_lr,11,balanced_accuracy,5,-0.36986486486486486,-0.03698648648648649,0.6527702702702703,-0.9409930875285398,0.017053222302606065
PhysionetMotorImagery,riemann_lr,11,brier_score,5,0.42973318798440124,0.04297331879844013,0.21460368029805882,0.9859330445553259,0.001998552311880559
PhysionetMotorImagery,riemann_lr,11,ece,5,0.2701667935682835,0.02701667935682835,0.28004642103647015,0.9591173575819175,0.00986190850798156
PhysionetMotorImagery,riemann_lr,12,roc_auc,5,-0.165135135135135,-0.0165135135135135,0.7897297297297297,-0.9569493773427009,0.01065316073531027
PhysionetMotorImagery,riemann_lr,12,balanced_accuracy,5,-0.43277027027027026,-0.04327702702702703,0.6837094594594595,-0.7767029777769194,0.12233438808823205
PhysionetMotorImagery,riemann_lr,12,brier_score,5,0.3170873191537079,0.03170873191537079,0.22039396336392952,0.9092924913709918,0.032344443697384366
PhysionetMotorImagery,riemann_lr,12,ece,5,0.09302652335760939,0.00930265233576094,0.32571869666696057,0.7595868886933486,0.13628683346471032
PhysionetMotorImagery,riemann_lr,13,roc_auc,5,-0.12189189189189197,-0.012189189189189197,0.7022162162162162,-0.9320569401854372,0.021041428189417857
PhysionetMotorImagery,riemann_lr,13,balanced_accuracy,5,-0.2618918918918917,-0.026189189189189173,0.6357162162162161,-0.723576019430089,0.167037993348044
PhysionetMotorImagery,riemann_lr,13,brier_score,5,0.23469908415639676,0.023469908415639677,0.24414353790347665,0.8895541128518344,0.043324071267481466
PhysionetMotorImagery,riemann_lr,13,ece,5,0.11383207739651997,0.011383207739651999,0.3028872623346206,0.7520595457676643,0.14256219598265296
PhysionetMotorImagery,riemann_lr,14,roc_auc,5,0.14054054054054047,0.014054054054054048,0.509081081081081,0.7435098972646005,0.14978958175603602
PhysionetMotorImagery,riemann_lr,14,balanced_accuracy,5,-0.010945945945945883,-0.0010945945945945884,0.515108108108108,-0.1375450128834769,0.8254260243207457
PhysionetMotorImagery,riemann_lr,14,brier_score,5,0.26751289523106087,0.026751289523106087,0.2826390380944052,0.9686073742762883,0.006645377387284468
PhysionetMotorImagery,riemann_lr,14,ece,5,0.3361967244123268,0.03361967244123268,0.2573703435361334,0.9093283462702212,0.03232544710983696
PhysionetMotorImagery,riemann_lr,15,roc_auc,5,-0.6316216216216214,-0.06316216216216214,0.8477567567567565,-0.9828798611940432,0.00268210856499557
PhysionetMotorImagery,riemann_lr,15,balanced_accuracy,5,-0.4237837837837839,-0.04237837837837839,0.6674324324324326,-0.7981381318437567,0.10551333734026942
PhysionetMotorImagery,riemann_lr,15,brier_score,5,0.35021478874535594,0.0350214788745356,0.21380683509830037,0.8991913506424027,0.037835725784880966
PhysionetMotorImagery,riemann_lr,15,ece,5,0.12748415033355054,0.012748415033355054,0.30633010473026184,0.7685969722346702,0.12888630967943335
PhysionetMotorImagery,riemann_lr,16,roc_auc,5,0.0021621621621620997,0.00021621621621620998,0.5353243243243244,0.020712325533372725,0.9736301337709867
