subject,condition,roc_auc_csp,roc_auc_riemann,paired_difference_csp_minus_riemann
19,motor_core,0.8300000000000001,0.78,0.050000000000000044
19,motor_extended,0.77,0.76,0.010000000000000009
19,region_midline_motor_strip,0.55,0.55,0.0
19,region_left_motor_strip,0.47,0.55,-0.08000000000000007
19,region_right_motor_strip,0.6,0.4699999999999999,0.13000000000000006
20,dropout_0.1,0.58,0.667,-0.08700000000000008
20,dropout_0.2,0.56,0.66,-0.09999999999999998
20,dropout_0.3,0.488,0.5870000000000001,-0.09900000000000009
20,dropout_0.5,0.467,0.56,-0.09300000000000003
20,clean,0.64,0.7100000000000001,-0.07000000000000006
20,motor_core,0.42,0.43,-0.010000000000000009
20,motor_extended,0.2,0.2799999999999999,-0.0799999999999999
20,region_midline_motor_strip,0.5700000000000001,0.72,-0.1499999999999999
20,region_left_motor_strip,0.6300000000000001,0.79,-0.15999999999999992
20,region_right_motor_strip,0.6900000000000001,0.82,-0.1299999999999999
21,dropout_0.1,0.5295000000000001,0.4669999999999999,0.06250000000000017
21,dropout_0.2,0.5479999999999999,0.44,0.10799999999999993
21,dropout_0.3,0.524,0.444,0.08000000000000002
21,dropout_0.5,0.503,0.44,0.063
21,clean,0.72,0.5199999999999999,0.20000000000000007
21,motor_core,0.67,0.74,-0.06999999999999995
21,motor_extended,0.74,0.71,0.030000000000000027
21,region_midline_motor_strip,0.57,0.48,0.08999999999999997
21,region_left_motor_strip,0.4899999999999999,0.57,-0.08000000000000007
21,region_right_motor_strip,0.675,0.43,0.24500000000000005
22,dropout_0.1,0.6,0.897,-0.29700000000000004
22,dropout_0.2,0.502,0.846,-0.344
22,dropout_0.3,0.519,0.797,-0.278
22,dropout_0.5,0.4825,0.679,-0.19650000000000006
22,clean,0.8099999999999999,0.92,-0.1100000000000001
22,motor_core,0.6100000000000001,0.63,-0.019999999999999907
22,motor_extended,0.6100000000000001,0.5599999999999999,0.050000000000000155
22,region_midline_motor_strip,0.64,0.94,-0.29999999999999993
22,region_left_motor_strip,0.8099999999999999,0.92,-0.1100000000000001
22,region_right_motor_strip,0.58,0.91,-0.33000000000000007
23,dropout_0.1,0.544,0.5760000000000001,-0.03200000000000003
23,dropout_0.2,0.574,0.587,-0.013000000000000012
23,dropout_0.3,0.5365,0.581,-0.044499999999999984
23,dropout_0.5,0.514,0.596,-0.08199999999999996
23,clean,0.5900000000000001,0.58,0.01000000000000012
23,motor_core,0.54,0.6,-0.05999999999999994
23,motor_extended,0.74,0.8099999999999999,-0.06999999999999995
23,region_midline_motor_strip,0.58,0.58,0.0
23,region_left_motor_strip,0.63,0.57,0.06000000000000005
23,region_right_motor_strip,0.53,0.6,-0.06999999999999995
24,dropout_0.1,0.5539999999999999,0.588,-0.03400000000000003
24,dropout_0.2,0.555,0.614,-0.05899999999999994
24,dropout_0.3,0.524,0.591,-0.06699999999999995
24,dropout_0.5,0.53,0.565,-0.03499999999999992
24,clean,0.6900000000000001,0.63,0.06000000000000005
24,motor_core,0.52,0.55,-0.030000000000000027
24,motor_extended,0.6300000000000001,0.64,-0.009999999999999898
24,region_midline_motor_strip,0.5900000000000001,0.6199999999999999,-0.029999999999999805
24,region_left_motor_strip,0.61,0.64,-0.030000000000000027
24,region_right_motor_strip,0.43,0.51,-0.08000000000000002
25,dropout_0.1,0.528,0.476,0.052000000000000046
25,dropout_0.2,0.4975,0.424,0.07350000000000001
25,dropout_0.3,0.4625,0.427,0.03550000000000003
25,dropout_0.5,0.48,0.4579999999999999,0.022000000000000075
25,clean,0.65,0.5800000000000001,0.06999999999999995
25,motor_core,0.5900000000000001,0.7,-0.10999999999999988
25,motor_extended,0.79,0.82,-0.029999999999999916
25,region_midline_motor_strip,0.5900000000000001,0.4800000000000001,0.10999999999999999
25,region_left_motor_strip,0.43,0.43,0.0
25,region_right_motor_strip,0.595,0.4600000000000001,0.1349999999999999
26,dropout_0.1,0.644,0.778,-0.134
26,dropout_0.2,0.664,0.6920000000000001,-0.028000000000000025
26,dropout_0.3,0.586,0.6809999999999999,-0.09499999999999997
26,dropout_0.5,0.5985,0.601,-0.0024999999999999467
26,clean,0.86,0.82,0.040000000000000036
26,motor_core,0.78,0.6799999999999999,0.10000000000000009
26,motor_extended,0.9,0.91,-0.010000000000000009
26,region_midline_motor_strip,0.7,0.8,-0.10000000000000009
26,region_left_motor_strip,0.71,0.67,0.039999999999999925
26,region_right_motor_strip,0.63,0.74,-0.10999999999999999
27,dropout_0.1,0.485,0.627,-0.14200000000000002
27,dropout_0.2,0.505,0.5770000000000001,-0.07200000000000006
27,dropout_0.3,0.506,0.547,-0.041000000000000036
27,dropout_0.5,0.5429999999999999,0.5379999999999999,0.0050000000000000044
27,clean,0.51,0.64,-0.13
27,motor_core,0.55,0.5599999999999999,-0.009999999999999898
27,motor_extended,0.6599999999999999,0.68,-0.02000000000000013
27,region_midline_motor_strip,0.5599999999999999,0.6300000000000001,-0.07000000000000017
27,region_left_motor_strip,0.5599999999999999,0.65,-0.09000000000000008
27,region_right_motor_strip,0.49,0.6599999999999999,-0.16999999999999993
28,dropout_0.1,0.46,0.374,0.08600000000000002
28,dropout_0.2,0.461,0.4019999999999999,0.05900000000000011
28,dropout_0.3,0.409,0.433,-0.02400000000000002
28,dropout_0.5,0.418,0.431,-0.013000000000000012
28,clean,0.48,0.3299999999999999,0.15000000000000008
28,motor_core,0.6300000000000001,0.61,0.02000000000000013
28,motor_extended,0.48,0.44,0.03999999999999998
28,region_midline_motor_strip,0.37,0.38,-0.010000000000000009
28,region_left_motor_strip,0.51,0.29,0.22000000000000003
28,region_right_motor_strip,0.51,0.42,0.09000000000000002
29,dropout_0.1,0.7835,0.943,-0.15949999999999998
29,dropout_0.2,0.742,0.89,-0.14800000000000002
29,dropout_0.3,0.6695,0.8370000000000001,-0.1675000000000001
29,dropout_0.5,0.6445000000000001,0.77,-0.12549999999999994
29,clean,1.0,0.99,0.010000000000000009
29,motor_core,0.99,0.98,0.010000000000000009
29,motor_extended,0.99,1.0,-0.010000000000000009
29,region_midline_motor_strip,0.8300000000000001,0.99,-0.15999999999999992
29,region_left_motor_strip,0.76,0.89,-0.13
29,region_right_motor_strip,0.91,0.8099999999999999,0.10000000000000009
30,dropout_0.1,0.4875,0.4539999999999999,0.033500000000000085
30,dropout_0.2,0.482,0.429,0.05299999999999999
30,dropout_0.3,0.504,0.41,0.09400000000000003
30,dropout_0.5,0.481,0.359,0.122
30,clean,0.4199999999999999,0.45,-0.030000000000000138
30,motor_core,0.2699999999999999,0.2699999999999999,0.0
30,motor_extended,0.42,0.43,-0.010000000000000009
30,region_midline_motor_strip,0.43,0.4699999999999999,-0.039999999999999925
30,region_left_motor_strip,0.45,0.4,0.04999999999999999
30,region_right_motor_strip,0.53,0.45,0.08000000000000002
31,dropout_0.1,0.613,0.746,-0.133
31,dropout_0.2,0.565,0.7120000000000001,-0.14700000000000013
31,dropout_0.3,0.581,0.713,-0.132
31,dropout_0.5,0.5535,0.685,-0.13150000000000006
31,clean,0.74,0.8300000000000001,-0.09000000000000008
31,motor_core,0.9,0.76,0.14
31,motor_extended,0.95,0.94,0.010000000000000009
31,region_midline_motor_strip,0.54,0.74,-0.19999999999999996
31,region_left_motor_strip,0.6900000000000001,0.77,-0.07999999999999996
31,region_right_motor_strip,0.58,0.6799999999999999,-0.09999999999999998
32,dropout_0.1,0.782,0.919,-0.137
32,dropout_0.2,0.6920000000000001,0.866,-0.17399999999999993
32,dropout_0.3,0.721,0.8079999999999999,-0.08699999999999997
32,dropout_0.5,0.6135,0.687,-0.07350000000000001
32,clean,0.93,0.96,-0.029999999999999916
32,motor_core,0.8800000000000001,0.86,0.02000000000000013
32,motor_extended,0.82,0.91,-0.09000000000000008
32,region_midline_motor_strip,0.8699999999999999,0.96,-0.09000000000000008
32,region_left_motor_strip,0.8299999999999998,0.86,-0.030000000000000138
32,region_right_motor_strip,0.74,0.92,-0.18000000000000005
33,dropout_0.1,0.5,0.655,-0.15500000000000003
33,dropout_0.2,0.4529999999999999,0.583,-0.13000000000000006
33,dropout_0.3,0.5,0.565,-0.06499999999999995
33,dropout_0.5,0.514,0.5329999999999999,-0.018999999999999906
33,clean,0.5599999999999999,0.72,-0.16000000000000003
33,motor_core,0.8300000000000001,0.8400000000000001,-0.010000000000000009
33,motor_extended,0.7,0.8300000000000001,-0.13000000000000012
33,region_midline_motor_strip,0.52,0.7,-0.17999999999999994
33,region_left_motor_strip,0.51,0.63,-0.12
33,region_right_motor_strip,0.5,0.63,-0.13
34,dropout_0.1,0.872,0.943,-0.07099999999999995
34,dropout_0.2,0.8175,0.897,-0.07950000000000002
34,dropout_0.3,0.795,0.85,-0.05499999999999994
34,dropout_0.5,0.7495,0.8029999999999999,-0.05349999999999988
34,clean,0.96,0.96,0.0
34,motor_core,0.96,0.99,-0.030000000000000027
34,motor_extended,0.98,0.99,-0.010000000000000009
34,region_midline_motor_strip,0.76,0.95,-0.18999999999999995
34,region_left_motor_strip,0.94,0.92,0.019999999999999907
34,region_right_motor_strip,0.74,0.8400000000000001,-0.10000000000000009
35,dropout_0.1,0.622,0.816,-0.19399999999999995
35,dropout_0.2,0.6085,0.733,-0.12449999999999994
35,dropout_0.3,0.5825,0.722,-0.13949999999999996
35,dropout_0.5,0.593,0.644,-0.051000000000000045
35,clean,0.86,0.8800000000000001,-0.02000000000000013
35,motor_core,0.6799999999999999,0.62,0.05999999999999994
35,motor_extended,0.7899999999999999,0.8,-0.01000000000000012
35,region_midline_motor_strip,0.8300000000000001,0.8600000000000001,-0.030000000000000027
35,region_left_motor_strip,0.68,0.78,-0.09999999999999998
35,region_right_motor_strip,0.86,0.85,0.010000000000000009
36,dropout_0.1,0.456,0.568,-0.11199999999999993
36,dropout_0.2,0.4604999999999999,0.536,-0.07550000000000012
36,dropout_0.3,0.513,0.503,0.010000000000000009
36,dropout_0.5,0.5005,0.4639999999999999,0.03650000000000003
36,clean,0.47,0.5800000000000001,-0.1100000000000001
36,motor_core,0.5900000000000001,0.5599999999999999,0.030000000000000138
36,motor_extended,0.3699999999999999,0.36,0.009999999999999898
36,region_midline_motor_strip,0.4800000000000001,0.5900000000000001,-0.10999999999999999
36,region_left_motor_strip,0.52,0.5700000000000001,-0.050000000000000044
36,region_right_motor_strip,0.53,0.63,-0.09999999999999998
