dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,2,64,32,0.5,0.30000000000000004,0.5555555555548211,0.5555555555549013,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,3,64,32,0.5,0.6,0.555555555555392,0.5555555555554734,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,4,64,32,0.6,0.5,0.3830191371683773,0.442527177732941,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,5,64,32,0.5,0.55,0.43941561846062255,0.4371717179782052,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,6,64,32,0.5,0.6,0.5555555555331727,0.5555555555395532,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,7,64,32,0.5,0.65,0.37516827027622246,0.401511980150078,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,8,64,32,0.65,0.6000000000000001,0.2863451661994036,0.3311454324629435,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,1,0.5,9,64,32,0.375,0.55,0.621126348969041,0.6409120314290208,,,
PhysionetMotorImagery,1,csp_lda,clean,all_channels,2,0.0,0,64,0,0.875,0.9,0.15496528449490724,0.28020120324415854,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,0,64,6,0.5,0.55,0.44444427981262824,0.4444439804066904,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,1,64,6,0.5,0.8,0.5455772488385899,0.5505060677296391,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,2,64,6,0.5,0.625,0.44444444444444414,0.4444444444444442,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,3,64,6,0.5,0.5,0.4444444444444444,0.4444444444444444,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,4,64,6,0.5,0.85,0.4428361058551191,0.4436271805591705,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,5,64,6,0.7,0.8,0.24179660469521114,0.27332796941168663,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,6,64,6,0.5,0.7000000000000001,0.5555555553003505,0.5555555554119015,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,7,64,6,0.5,0.7,0.43689860645683287,0.4386032199387687,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,8,64,6,0.5,0.9,0.3668062321191456,0.4260294925790703,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.1,9,64,6,0.8,0.7,0.229333049172906,0.29482439596835297,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,0,64,13,0.5,0.8,0.5227129229853859,0.5345100417734436,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,1,64,13,0.5,0.65,0.5315503310070901,0.542261017224749,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,2,64,13,0.5,0.85,0.4092410233210325,0.425204805893185,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,3,64,13,0.5,0.65,0.5555552146453028,0.5555553846719165,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,4,64,13,0.5,0.7,0.4444440487299013,0.4444436557074921,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,5,64,13,0.5,0.8,0.44444422224075275,0.4444442978057853,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,6,64,13,0.5,0.5499999999999999,0.44444444444318854,0.44444444443658804,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,7,64,13,0.5,0.6,0.44444443664705713,0.4444435360870467,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,8,64,13,0.5,0.65,0.5334991742961489,0.5397844109599049,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.2,9,64,13,0.4,0.5,0.5499776469272465,0.5415906771383167,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.3,0,64,19,0.65,0.45,0.33132053283467644,0.3939107922907811,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.3,1,64,19,0.5,0.5,0.4444443288479887,0.444444323481593,,,
PhysionetMotorImagery,1,csp_lda,channel_dropout,all_channels,2,0.3,2,64,19,0.5,0.2,0.5555555552267751,0.5555555487682017,,,
