condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.2,ece,calibration,109,0.12711081393309714,0.10607936446357845,0.14814226340261585,0.11302813384095739,0.08352058988924499,0.1452904683496135,1.1474709718943046,large,98,0.8990825688073395,11,0.10091743119266056,4.346754503943216e-18,fdr_significant_ttest
channel_dropout_0.3,ece,calibration,109,0.13148954488052622,0.10986828022033782,0.15311080954071463,0.12105682057563416,0.07959004538898451,0.14099574967861228,1.154618581312724,large,99,0.908256880733945,10,0.09174311926605505,5.831344845014659e-19,non_normal_delta_check_wilcoxon
channel_dropout_0.5,ece,calibration,109,0.13714128529331143,0.11490934757210948,0.1593732230145134,0.11970741307967586,0.08938975069762295,0.1530717327538818,1.1711683065522203,large,99,0.908256880733945,10,0.09174311926605505,5.831344845014659e-19,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,ece,calibration,109,-0.0641590948244479,-0.08326465182086223,-0.04505353782803356,-0.0708919874646734,-0.09470207261530772,-0.04763214000926663,-0.6375686259365072,medium,28,0.25688073394495414,81,0.7431192660550459,5.037404662785958e-07,fdr_significant_ttest
reduced_montage_motor_extended,ece,calibration,109,-0.02214453348206401,-0.03915313496720351,-0.0051359319969245115,-0.02381325619054342,-0.03774287259810749,-0.016218796003562574,-0.2471874076089334,small,38,0.3486238532110092,71,0.6513761467889908,0.0022873157227227725,fdr_significant_ttest
region_dropout_left_motor_strip_0.140625,ece,calibration,109,0.09754137447283798,0.07703868811795127,0.11804406082772469,0.09014033024407778,0.05165976698400909,0.10567927657285203,0.9032469755931908,large,94,0.8623853211009175,15,0.13761467889908258,1.0263112997512359e-14,non_normal_delta_check_wilcoxon
region_dropout_midline_motor_strip_0.046875,ece,calibration,109,0.0993257600106728,0.07984359868037236,0.11880792134097323,0.08845287292440868,0.0677156647332034,0.10804238667191801,0.9679505579592746,large,88,0.8073394495412844,21,0.1926605504587156,1.3115397305230125e-10,non_normal_delta_check_wilcoxon
region_dropout_right_motor_strip_0.140625,ece,calibration,109,0.1000827649621149,0.081054494732251,0.11911103519197881,0.0872937120701475,0.07095116256369222,0.11878499642961102,0.9985927246546733,large,95,0.8715596330275229,14,0.12844036697247707,1.7312764046024084e-15,non_normal_delta_check_wilcoxon
channel_dropout_0.1,roc_auc,primary,109,-0.06520400101936799,-0.08047229714343493,-0.049935704895301046,-0.062000000000000055,-0.08200000000000013,-0.04400000000000004,-0.810796908741123,large,86,0.7889908256880734,23,0.21100917431192662,1.7267513425291263e-09,fdr_significant_ttest
channel_dropout_0.2,roc_auc,primary,109,-0.10179051987767583,-0.12318552012844462,-0.08039551962690704,-0.10249999999999992,-0.13649999999999995,-0.06250000000000011,-0.9032821947091921,large,89,0.8165137614678899,20,0.1834862385321101,3.402391282934554e-11,fdr_significant_ttest
channel_dropout_0.3,roc_auc,primary,109,-0.1117278287461774,-0.13483872036976058,-0.08861693712259423,-0.11499999999999999,-0.14400000000000002,-0.07799999999999996,-0.9178528718207675,large,84,0.7706422018348624,25,0.22935779816513763,1.8239404848984447e-08,fdr_significant_ttest
channel_dropout_0.5,roc_auc,primary,109,-0.12768871049949035,-0.15336870257378088,-0.10200871842519982,-0.12950000000000006,-0.16299999999999992,-0.07950000000000013,-0.9440305065467329,large,87,0.7981651376146789,22,0.2018348623853211,4.978561210446574e-10,fdr_significant_ttest
reduced_montage_motor_core,roc_auc,primary,109,-0.006707441386340476,-0.03464549175753398,0.021230608984853027,-0.019999999999999907,-0.04999999999999993,0.020000000000000018,-0.04558156196369633,negligible,56,0.5137614678899083,50,0.45871559633027525,0.6453575764237383,descriptive_or_not_fdr_significant
reduced_montage_motor_extended,roc_auc,primary,109,0.013654434250764522,-0.01311523093033447,0.040424099431863515,0.020000000000000018,-0.010000000000000009,0.04999999999999993,0.09684098191378811,negligible,45,0.41284403669724773,60,0.5504587155963303,0.1859720541298729,descriptive_or_not_fdr_significant
region_dropout_left_motor_strip_0.140625,roc_auc,primary,109,-0.057647808358817526,-0.07703543337619784,-0.038260183341437215,-0.04999999999999993,-0.07999999999999996,-0.020000000000000018,-0.5645294499478618,medium,71,0.6513761467889908,32,0.29357798165137616,0.00017794902291348673,fdr_significant_ttest
region_dropout_midline_motor_strip_0.046875,roc_auc,primary,109,-0.04838939857288481,-0.06557603495046758,-0.03120276219530203,-0.050000000000000044,-0.060000000000000164,-0.029999999999999916,-0.5345492798772316,medium,74,0.6788990825688074,29,0.26605504587155965,1.2846309874961955e-05,fdr_significant_ttest
