dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,4,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.8589434346865975,0.7464285714285714,0.1589512503793019,0.14947494581877468,9,0.0
BNCI2014-001,4,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.850883302191269,0.5,0.44706068257797477,0.4612671314539519,22,3.0
BNCI2014-001,4,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.798615593680992,0.5,0.4999218981945267,0.4999430331515187,22,7.0
BNCI2014-001,4,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.680524885340581,0.5374384236453202,0.3241333017692142,0.3019678175096375,22,7.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.1,,,,0.6313181586546628,0.5267241379310346,0.3704112919340706,0.3422625715256729,22,2.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.2,,,,0.6207779853915407,0.517807881773399,0.3743722063006587,0.3452301461201495,22,4.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.3,,,,0.5743043995243757,0.5049137931034483,0.4064546100816605,0.3811448673668232,22,7.0
BNCI2014-001,5,riemann_lr,channel_dropout,all_channels,0.5,,,,0.5330983523016817,0.5025615763546798,0.4118285179356684,0.38581645496702094,22,11.0
BNCI2014-001,5,riemann_lr,clean,all_channels,0.0,,,,0.6623152709359605,0.6114532019704433,0.2331211747806194,0.12845210520889283,22,0.0
BNCI2014-001,5,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.6809413580246914,0.611111111111111,0.23083073972322696,0.09342632264756663,22,0.0
BNCI2014-001,5,riemann_lr,reduced_montage,motor_core,0.0,,,,0.5410735518940037,0.5311576354679803,0.25360882245103983,0.07341183316049349,3,0.0
BNCI2014-001,5,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.5696959402072362,0.5383004926108375,0.25072870890206767,0.128889061226676,9,0.0
BNCI2014-001,5,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.667717003567182,0.5,0.4779581817894754,0.4799602630580657,22,3.0
BNCI2014-001,5,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.6145829794462375,0.506896551724138,0.40223502328384075,0.38257166499591505,22,7.0
BNCI2014-001,5,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.5148887378970614,0.4764778325123153,0.3331403215543886,0.27554140990341713,22,7.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.1,,,,0.809921861729234,0.5995566502463054,0.32050991334996093,0.31476828737312273,22,2.0
