subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,clean_working_threshold,failure_threshold,clean_working,dropout_failure_at_50pct,montage_rescue,intervention_class
53,0.93,0.769,0.769,-0.16100000000000003,motor_extended,0.6900000000000001,0.6,0.6,True,False,True,C_ok_dev
54,0.9,0.7440000000000001,0.7440000000000001,-0.15599999999999992,motor_core,0.8800000000000001,0.6,0.6,True,False,True,C_ok_dev
56,0.99,0.917,0.917,-0.07299999999999995,motor_extended,0.93,0.6,0.6,True,False,True,C_ok_dev
60,0.94,0.815,0.815,-0.125,motor_extended,0.95,0.6,0.6,True,False,True,C_ok_dev
62,0.95,0.764,0.764,-0.18599999999999994,motor_extended,0.99,0.6,0.6,True,False,True,C_ok_dev
72,0.97,0.8210000000000001,0.8210000000000001,-0.1489999999999999,motor_extended,0.94,0.6,0.6,True,False,True,C_ok_dev
93,0.92,0.7260000000000001,0.7260000000000001,-0.19399999999999995,motor_extended,0.95,0.6,0.6,True,False,True,C_ok_dev
97,0.76,0.687,0.6859999999999999,-0.07400000000000007,motor_extended,0.76,0.6,0.6,True,False,True,C_ok_dev
102,0.76,0.652,0.652,-0.10799999999999998,motor_extended,0.85,0.6,0.6,True,False,True,C_ok_dev
108,0.93,0.7410000000000001,0.7410000000000001,-0.18899999999999995,motor_extended,0.91,0.6,0.6,True,False,True,C_ok_dev
3,0.5900000000000001,0.4639999999999999,0.4639999999999999,-0.12600000000000017,motor_extended,0.5,0.6,0.6,False,False,False,D_low_clean
5,0.4,0.433,0.384,-0.016000000000000014,motor_core,0.5599999999999999,0.6,0.6,False,False,False,D_low_clean
17,0.42,0.314,0.314,-0.10599999999999998,motor_core,0.37,0.6,0.6,False,False,False,D_low_clean
18,0.5800000000000001,0.51,0.477,-0.10300000000000009,motor_extended,0.35,0.6,0.6,False,False,False,D_low_clean
30,0.45,0.3379999999999999,0.3379999999999999,-0.1120000000000001,motor_extended,0.43,0.6,0.6,False,False,False,D_low_clean
36,0.5800000000000001,0.427,0.427,-0.15300000000000008,motor_core,0.56,0.6,0.6,False,False,False,D_low_clean
37,0.45,0.431,0.4029999999999999,-0.0470000000000001,motor_core,0.38,0.6,0.6,False,False,False,D_low_clean
38,0.51,0.484,0.484,-0.026000000000000023,motor_core,0.48,0.6,0.6,False,False,False,D_low_clean
58,0.48,0.475,0.4629999999999999,-0.01700000000000007,motor_extended,0.5700000000000001,0.6,0.6,False,False,False,D_low_clean
59,0.48,0.41,0.385,-0.09499999999999997,motor_core,0.53,0.6,0.6,False,False,False,D_low_clean
63,0.45,0.5660000000000001,0.483,0.032999999999999974,motor_extended,0.51,0.6,0.6,False,False,False,D_low_clean
66,0.5900000000000001,0.416,0.416,-0.1740000000000001,motor_core,0.5800000000000001,0.6,0.6,False,False,False,D_low_clean
67,0.53,0.491,0.491,-0.039000000000000035,motor_extended,0.41,0.6,0.6,False,False,False,D_low_clean
69,0.5700000000000001,0.484,0.484,-0.08600000000000008,motor_extended,0.38,0.6,0.6,False,False,False,D_low_clean
74,0.4600000000000001,0.5489999999999999,0.51,0.04999999999999993,motor_core,0.37,0.6,0.6,False,False,False,D_low_clean
77,0.36,0.222,0.222,-0.13799999999999998,motor_extended,0.42,0.6,0.6,False,False,False,D_low_clean
78,0.35,0.311,0.288,-0.062,motor_core,0.48,0.6,0.6,False,False,False,D_low_clean
87,0.41,0.492,0.435,0.025000000000000022,motor_extended,0.53,0.6,0.6,False,False,False,D_low_clean
99,0.56,0.5660000000000001,0.55,-0.010000000000000009,motor_core,0.45,0.6,0.6,False,False,False,D_low_clean
100,0.5375,0.5220833333333333,0.5016666666666666,-0.035833333333333384,motor_extended,0.3833333333333333,0.6,0.6,False,False,False,D_low_clean
101,0.3,0.337,0.308,0.008000000000000007,motor_core,0.51,0.6,0.6,False,False,False,D_low_clean
104,0.5625,0.3445,0.3445,-0.21800000000000003,motor_extended,0.55,0.6,0.6,False,False,False,D_low_clean
106,0.41,0.471,0.3779999999999999,-0.032000000000000084,motor_core,0.5900000000000001,0.6,0.6,False,False,False,D_low_clean
109,0.38,0.47,0.397,0.017000000000000015,motor_core,0.39,0.6,0.6,False,False,False,D_low_clean
