dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,6,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.6576524545608968,0.5,0.4679678928262069,0.47387764483119293,22,7.0
BNCI2014-001,6,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.6272974350263293,0.5,0.490048578379285,0.4927192296046335,22,7.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.1,,,,0.7941515202989637,0.5504310344827587,0.41542217297928485,0.42032849479048606,22,2.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.2,,,,0.7057312722948871,0.5200862068965517,0.4448393121588684,0.44374368023131183,22,4.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.3,,,,0.6607363682690675,0.5136453201970443,0.4532714442149641,0.44947907872633125,22,7.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.5,,,,0.6205112960760999,0.5139778325123153,0.4565562198210037,0.4524697383640423,22,11.0
BNCI2014-001,7,csp_lda,clean,all_channels,0.0,,,,0.9369288262272806,0.8439655172413794,0.10104546532592162,0.11378267897957914,22,0.0
BNCI2014-001,7,csp_lda,cross_session,all_channels,0.0,,0train,1test,0.8981481481481481,0.7430555555555556,0.18306355964805482,0.19512989135351108,22,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_core,0.0,,,,0.6930185153728555,0.6352216748768473,0.22086788440626556,0.1180069289733493,3,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_extended,0.0,,,,0.7575760149481909,0.6980295566502464,0.19971155327960438,0.12632296750329142,9,0.0
BNCI2014-001,7,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.878987599796161,0.5142857142857142,0.46129556000772015,0.4740915093670045,22,3.0
BNCI2014-001,7,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.7370562255817903,0.5137931034482759,0.4320173739478072,0.41460729650945005,22,7.0
BNCI2014-001,7,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.6530066247664345,0.5251231527093596,0.3944649185431458,0.38898672963629755,22,7.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.1,,,,0.8863865296415832,0.5885344827586207,0.3992313245704277,0.41100078858177136,22,2.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.2,,,,0.7935816205197894,0.5191502463054187,0.46373440820558415,0.46774724767952053,22,4.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.3,,,,0.780949549855614,0.5176354679802956,0.45432945457088386,0.4586860218108865,22,7.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.5,,,,0.7255257346696111,0.5206773399014779,0.4585651936667158,0.4615158372907461,22,11.0
BNCI2014-001,8,csp_lda,clean,all_channels,0.0,,,,0.9980890096823509,0.9685960591133005,0.02460637653286362,0.04066213861511249,22,0.0
BNCI2014-001,8,csp_lda,cross_session,all_channels,0.0,,0train,1test,0.9928626543209877,0.9583333333333333,0.03773791450796455,0.037100594820928263,22,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_core,0.0,,,,0.9402072362833362,0.8541871921182265,0.10132741699011287,0.11481360299794666,3,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_extended,0.0,,,,0.9868099201630711,0.9374384236453203,0.0404754799138133,0.05679725488787938,9,0.0
BNCI2014-001,8,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9852981144895534,0.741871921182266,0.20966476025711436,0.24925022867498478,22,3.0
BNCI2014-001,8,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.8425938508578223,0.5,0.4999644723345741,0.49998216676133234,22,7.0
BNCI2014-001,8,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.8801426872770511,0.5,0.4999999854490785,0.4999999927146243,22,7.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.1,,,,0.792204858162052,0.5860344827586207,0.371640456913285,0.3884116718211714,22,2.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.2,,,,0.7387073212162392,0.5656034482758621,0.39077950431784925,0.3991577447232326,22,4.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.3,,,,0.6616876167827417,0.5179926108374384,0.45111296718590493,0.45460577294301757,22,7.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.5,,,,0.6220596228979107,0.511256157635468,0.46335814206422726,0.4645060502986679,22,11.0
BNCI2014-001,9,csp_lda,clean,all_channels,0.0,,,,0.9228469509087821,0.8366995073891627,0.11364349580481639,0.10765144612327253,22,0.0
BNCI2014-001,9,csp_lda,cross_session,all_channels,0.0,,0train,1test,0.9662422839506173,0.9305555555555556,0.0686250460981708,0.08468031165044586,22,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_core,0.0,,,,0.8862153898420247,0.8118226600985221,0.13717494804934133,0.1288128738090603,3,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_extended,0.0,,,,0.8886444708680143,0.8157635467980295,0.1360128305267116,0.11155446909769898,9,0.0
BNCI2014-001,9,csp_lda,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.8763631730932563,0.7285714285714285,0.19656799475703302,0.20802761741306722,22,3.0
BNCI2014-001,9,csp_lda,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.9069644980465432,0.7990147783251231,0.14730388422999202,0.16158889745916932,22,7.0
BNCI2014-001,9,csp_lda,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.5051554272125021,0.503448275862069,0.4591993682104428,0.46550765230943514,22,7.0
