subject,clean_auc,auc_at_50pct_dropout,worst_dropout_delta_auc,clean_working,dropout_failure_at_50pct,best_montage,best_montage_auc,best_montage_gain_vs_clean,risk_level
103,0.6599999999999999,0.45,-0.2099999999999999,True,True,motor_extended,0.55,-0.10999999999999988,high_drop_failure
105,0.8699999999999999,0.5479999999999999,-0.32199999999999995,True,True,motor_extended,0.79,-0.07999999999999985,high_drop_failure
107,0.62,0.3969999999999999,-0.2230000000000001,True,True,motor_core,0.47,-0.15000000000000002,high_drop_failure
3,0.5900000000000001,0.4639999999999999,-0.12600000000000017,False,False,motor_extended,0.5,-0.09000000000000008,low_clean_performance
5,0.4,0.433,-0.016000000000000014,False,False,motor_core,0.5599999999999999,0.15999999999999992,low_clean_performance
9,0.47,0.4429999999999999,-0.04299999999999998,False,False,motor_core,0.68,0.21000000000000008,low_clean_performance
10,0.58,0.489,-0.09099999999999997,False,False,motor_extended,0.8800000000000001,0.30000000000000016,low_clean_performance
14,0.52,0.547,0.019000000000000017,False,False,motor_extended,0.65,0.13,low_clean_performance
16,0.56,0.5319999999999999,-0.08500000000000008,False,False,motor_extended,0.71,0.1499999999999999,low_clean_performance
17,0.42,0.314,-0.10599999999999998,False,False,motor_core,0.37,-0.04999999999999999,low_clean_performance
18,0.5800000000000001,0.51,-0.10300000000000009,False,False,motor_extended,0.35,-0.2300000000000001,low_clean_performance
19,0.58,0.528,-0.06899999999999995,False,False,motor_core,0.78,0.20000000000000007,low_clean_performance
21,0.52,0.436,-0.08400000000000002,False,False,motor_core,0.74,0.21999999999999997,low_clean_performance
23,0.58,0.6,-0.017999999999999905,False,False,motor_extended,0.8099999999999999,0.22999999999999998,low_clean_performance
25,0.5800000000000001,0.423,-0.15700000000000008,False,False,motor_extended,0.82,0.23999999999999988,low_clean_performance
28,0.3299999999999999,0.424,0.0520000000000001,False,False,motor_core,0.61,0.2800000000000001,low_clean_performance
30,0.45,0.3379999999999999,-0.1120000000000001,False,False,motor_extended,0.43,-0.020000000000000018,low_clean_performance
36,0.5800000000000001,0.427,-0.15300000000000008,False,False,motor_core,0.56,-0.020000000000000018,low_clean_performance
37,0.45,0.431,-0.0470000000000001,False,False,motor_core,0.38,-0.07,low_clean_performance
38,0.51,0.484,-0.026000000000000023,False,False,motor_core,0.48,-0.030000000000000027,low_clean_performance
45,0.48,0.457,-0.022999999999999965,False,False,motor_extended,0.62,0.14,low_clean_performance
46,0.48,0.445,-0.10599999999999998,False,False,motor_extended,0.8099999999999999,0.32999999999999996,low_clean_performance
47,0.58,0.6629999999999999,0.013000000000000123,False,False,motor_core,0.67,0.09000000000000008,low_clean_performance
57,0.51,0.38,-0.13,False,False,motor_extended,0.71,0.19999999999999996,low_clean_performance
58,0.48,0.475,-0.01700000000000007,False,False,motor_extended,0.5700000000000001,0.09000000000000008,low_clean_performance
59,0.48,0.41,-0.09499999999999997,False,False,motor_core,0.53,0.050000000000000044,low_clean_performance
63,0.45,0.5660000000000001,0.032999999999999974,False,False,motor_extended,0.51,0.06,low_clean_performance
64,0.51,0.478,-0.07100000000000001,False,False,motor_extended,0.76,0.25,low_clean_performance
65,0.5900000000000001,0.42,-0.1700000000000001,False,False,motor_core,0.62,0.029999999999999916,low_clean_performance
66,0.5900000000000001,0.416,-0.1740000000000001,False,False,motor_core,0.5800000000000001,-0.010000000000000009,low_clean_performance
67,0.53,0.491,-0.039000000000000035,False,False,motor_extended,0.41,-0.12000000000000005,low_clean_performance
69,0.5700000000000001,0.484,-0.08600000000000008,False,False,motor_extended,0.38,-0.19000000000000006,low_clean_performance
73,0.43,0.352,-0.07800000000000001,False,False,motor_core,0.67,0.24000000000000005,low_clean_performance
74,0.4600000000000001,0.5489999999999999,0.04999999999999993,False,False,motor_core,0.37,-0.09000000000000008,low_clean_performance
77,0.36,0.222,-0.13799999999999998,False,False,motor_extended,0.42,0.06,low_clean_performance
78,0.35,0.311,-0.062,False,False,motor_core,0.48,0.13,low_clean_performance
79,0.55,0.5930000000000001,-0.052000000000000046,False,False,motor_extended,0.6900000000000001,0.14,low_clean_performance
83,0.5800000000000001,0.39,-0.19000000000000006,False,False,motor_core,0.82,0.23999999999999988,low_clean_performance
87,0.41,0.492,0.025000000000000022,False,False,motor_extended,0.53,0.12000000000000005,low_clean_performance
88,0.47,0.382111111111111,-0.08788888888888896,False,False,motor_core,0.6088888888888888,0.13888888888888884,low_clean_performance
90,0.58,0.57,-0.03499999999999992,False,False,motor_extended,0.6799999999999999,0.09999999999999998,low_clean_performance
91,0.5700000000000001,0.411,-0.15900000000000009,False,False,motor_extended,0.6300000000000001,0.06000000000000005,low_clean_performance
95,0.43,0.46,-0.019000000000000017,False,False,motor_core,0.6599999999999999,0.22999999999999993,low_clean_performance
98,0.42,0.393,-0.02699999999999997,False,False,motor_extended,0.69,0.26999999999999996,low_clean_performance
99,0.56,0.5660000000000001,-0.010000000000000009,False,False,motor_core,0.45,-0.11000000000000004,low_clean_performance
100,0.5375,0.5220833333333333,-0.035833333333333384,False,False,motor_extended,0.3833333333333333,-0.15416666666666667,low_clean_performance
