dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels,session_train,session_test
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,1,22,11,0.5517241379310345,0.8680142687277052,0.22413713970876759,0.23848726650324345,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,2,22,11,0.5,0.8561236623067776,0.49642707561888516,0.49752825851583876,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,3,22,11,0.7068965517241379,0.7859690844233056,0.21635246224791455,0.1429748170786041,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,4,22,11,0.5,0.8478002378121284,0.41094446063832374,0.42506601100685576,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,5,22,11,0.5,0.8026159334126041,0.49999963079115955,0.4999997201856582,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,6,22,11,0.7586206896551724,0.9607609988109393,0.16521099760662802,0.19075376405985545,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,7,22,11,0.5,0.901307966706302,0.45707542946514174,0.46949844932614015,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,8,22,11,0.5,0.9013079667063021,0.49853462979772134,0.49895700513899244,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,9,22,11,0.5,0.7419738406658739,0.4841013922187169,0.4873037704420783,,,,,
BNCI2014-001,1,riemann_lr,clean,all_channels,3,0.0,0,22,0,0.8793103448275862,0.9357907253269917,0.10134296658320151,0.09390777610675535,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,0,22,2,0.5,0.9381688466111773,0.42904546144609407,0.4574384519827466,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,1,22,2,0.5,0.9346016646848989,0.4389941178266221,0.46344361408999,,,,,
