dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,9,riemann_lr,clean,all_channels,0.0,,0.47000000000000003,0.5599999999999999,0.2735069082232752,0.2099706119502963,64,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_core,0.0,,0.68,0.5549999999999999,0.24098614792014014,0.11700779452649854,3,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_extended,0.0,,0.6300000000000001,0.635,0.23423351707624773,0.17592997457183548,9,0.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.44000000000000006,0.5,0.35833768791854925,0.34748547489426534,64,3.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.39,0.5,0.3741739187190304,0.36890069797542235,64,9.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.41000000000000003,0.5,0.395975235576766,0.3940474070343024,64,9.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.1,,0.519,0.498,0.2835893594362803,0.3005622513591671,64,6.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.2,,0.506,0.489,0.3004928011969171,0.3108295063849051,64,13.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.3,,0.51,0.507,0.2947055069715548,0.2773991015471453,64,19.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.5,,0.489,0.4865,0.3148517776621949,0.2951419925251535,64,32.0
PhysionetMotorImagery,10,riemann_lr,clean,all_channels,0.0,,0.58,0.5900000000000001,0.2483084564545782,0.3285814654902203,64,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_core,0.0,,0.79,0.745,0.20318191369075236,0.27173330876787943,3,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_extended,0.0,,0.8800000000000001,0.765,0.17571931814850905,0.28650506534365505,9,0.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.47000000000000003,0.52,0.2743611043934272,0.3297260682770215,64,3.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.5700000000000001,0.52,0.268478604919496,0.2778015540309686,64,9.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.42000000000000004,0.48,0.28997613062646066,0.32200590709641913,64,9.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.1,,0.7040000000000001,0.5965,0.27455889607055484,0.31220047753456326,64,6.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.2,,0.635,0.54,0.32697229468243094,0.34848469319704123,64,13.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.3,,0.635,0.547,0.34495412709196105,0.3626420347924098,64,19.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.5,,0.5479999999999999,0.526,0.39651266647491623,0.40273016731741856,64,32.0
PhysionetMotorImagery,11,riemann_lr,clean,all_channels,0.0,,0.74,0.685,0.19645684024924737,0.288951985784972,64,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_core,0.0,,0.47000000000000003,0.465,0.25631352276680885,0.13982959282306434,3,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_extended,0.0,,0.44000000000000006,0.45,0.26062656443058974,0.28821115063048386,9,0.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.76,0.71,0.20957557808944066,0.3100484590517858,64,3.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8099999999999999,0.71,0.22137082797775123,0.2867224679104156,64,9.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.73,0.6849999999999999,0.21305144692068523,0.2663112773925868,64,9.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.1,,0.784,0.578,0.26937485917798915,0.3548204304294025,64,6.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.2,,0.755,0.5539999999999999,0.3080062331336008,0.36381424478127455,64,13.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.3,,0.7559999999999999,0.51,0.3300797285834319,0.3640866287396982,64,19.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.5,,0.706,0.486,0.3804136317876717,0.387881168006176,64,32.0
PhysionetMotorImagery,12,riemann_lr,clean,all_channels,0.0,,0.8,0.775,0.18947883249518344,0.31779151608600753,64,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_core,0.0,,0.62,0.5650000000000001,0.2559891148659138,0.24421289496603435,3,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_extended,0.0,,0.78,0.6849999999999999,0.21656003451396186,0.32580278763198245,9,0.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.79,0.7150000000000001,0.20626668663990277,0.31587845221117783,64,3.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.75,0.5,0.41661222994531394,0.4355218266817579,64,9.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.78,0.5,0.34127667449953647,0.4185823860822687,64,9.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.1,,0.695,0.5825,0.2676555645445593,0.3216652874800978,64,6.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.2,,0.6509999999999999,0.5479999999999999,0.3298482367934084,0.3710571299184297,64,13.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.3,,0.669,0.524,0.33178746153731553,0.36288718938663406,64,19.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.5,,0.6030000000000001,0.5255,0.36394133103243786,0.3788717540629443,64,32.0
PhysionetMotorImagery,13,riemann_lr,clean,all_channels,0.0,,0.6900000000000001,0.7,0.21491549121348513,0.28002372977742473,64,0.0
PhysionetMotorImagery,13,riemann_lr,reduced_montage,motor_core,0.0,,0.6799999999999999,0.75,0.22385529849273791,0.24879682100561765,3,0.0
PhysionetMotorImagery,13,riemann_lr,reduced_montage,motor_extended,0.0,,0.8,0.73,0.18712063658807837,0.24269750402402446,9,0.0
PhysionetMotorImagery,13,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.6900000000000001,0.5900000000000001,0.23411188312920367,0.27969265441998764,64,3.0
PhysionetMotorImagery,13,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.5800000000000001,0.5,0.422729580540968,0.43695231497706716,64,9.0
PhysionetMotorImagery,13,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.65,0.675,0.2323353640635813,0.2691029987812744,64,9.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.1,,0.539,0.52,0.32163649433514147,0.3290116055338628,64,6.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.2,,0.55,0.5305,0.3415499061460616,0.34096559360250034,64,13.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.3,,0.562,0.516,0.3599065587359401,0.3502049269534499,64,19.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.5,,0.547,0.53,0.4169061050764433,0.4077186999864227,64,32.0
PhysionetMotorImagery,14,riemann_lr,clean,all_channels,0.0,,0.52,0.5349999999999999,0.2646853209597981,0.21984451902268504,64,0.0
PhysionetMotorImagery,14,riemann_lr,reduced_montage,motor_core,0.0,,0.6,0.635,0.24531413537906444,0.19246110254809737,3,0.0
PhysionetMotorImagery,14,riemann_lr,reduced_montage,motor_extended,0.0,,0.65,0.6,0.2350263117774804,0.22140206639215315,9,0.0
