subject,condition,roc_auc_csp,roc_auc_riemann,clean_auc_csp,clean_auc_riemann,change_csp,change_riemann,difference_in_degradation_csp_minus_riemann
4,dropout_0.2,0.542,0.745,0.6599999999999999,0.8099999999999999,-0.11799999999999988,-0.06499999999999995,-0.052999999999999936
4,dropout_0.3,0.512,0.6990000000000001,0.6599999999999999,0.8099999999999999,-0.1479999999999999,-0.11099999999999988,-0.03700000000000003
4,dropout_0.5,0.509,0.612,0.6599999999999999,0.8099999999999999,-0.1509999999999999,-0.19799999999999995,0.04700000000000004
4,motor_core,0.8400000000000001,0.78,0.6599999999999999,0.8099999999999999,0.18000000000000016,-0.029999999999999916,0.21000000000000008
4,motor_extended,0.74,0.8099999999999999,0.6599999999999999,0.8099999999999999,0.08000000000000007,0.0,0.08000000000000007
4,region_midline_motor_strip,0.51,0.8,0.6599999999999999,0.8099999999999999,-0.1499999999999999,-0.009999999999999898,-0.14
4,region_left_motor_strip,0.51,0.8,0.6599999999999999,0.8099999999999999,-0.1499999999999999,-0.009999999999999898,-0.14
4,region_right_motor_strip,0.65,0.77,0.6599999999999999,0.8099999999999999,-0.009999999999999898,-0.039999999999999925,0.030000000000000027
5,dropout_0.1,0.4479999999999999,0.3829999999999999,0.4800000000000001,0.4,-0.032000000000000195,-0.017000000000000126,-0.015000000000000069
5,dropout_0.2,0.4385,0.401,0.4800000000000001,0.4,-0.04150000000000009,0.0010000000000000009,-0.04250000000000009
5,dropout_0.3,0.4495,0.417,0.4800000000000001,0.4,-0.030500000000000083,0.01699999999999996,-0.04750000000000004
5,dropout_0.5,0.4539999999999999,0.428,0.4800000000000001,0.4,-0.02600000000000019,0.02799999999999997,-0.05400000000000016
5,motor_core,0.62,0.5599999999999999,0.4800000000000001,0.4,0.1399999999999999,0.15999999999999992,-0.020000000000000018
5,motor_extended,0.5700000000000001,0.5599999999999999,0.4800000000000001,0.4,0.08999999999999997,0.15999999999999992,-0.06999999999999995
5,region_midline_motor_strip,0.415,0.35,0.4800000000000001,0.4,-0.06500000000000011,-0.050000000000000044,-0.015000000000000069
5,region_left_motor_strip,0.36,0.35,0.4800000000000001,0.4,-0.1200000000000001,-0.050000000000000044,-0.07000000000000006
5,region_right_motor_strip,0.5900000000000001,0.44,0.4800000000000001,0.4,0.10999999999999999,0.03999999999999998,0.07
6,dropout_0.1,0.4479999999999999,0.539,0.48,0.63,-0.032000000000000084,-0.09099999999999997,0.058999999999999886
6,dropout_0.2,0.423,0.525,0.48,0.63,-0.056999999999999995,-0.10499999999999998,0.04799999999999999
6,dropout_0.3,0.446,0.512,0.48,0.63,-0.033999999999999975,-0.118,0.08400000000000002
6,dropout_0.5,0.439,0.512,0.48,0.63,-0.04099999999999998,-0.118,0.07700000000000001
6,motor_core,0.42,0.4199999999999999,0.48,0.63,-0.06,-0.21000000000000013,0.15000000000000013
6,motor_extended,0.55,0.4599999999999999,0.48,0.63,0.07000000000000006,-0.1700000000000001,0.24000000000000016
6,region_midline_motor_strip,0.5399999999999999,0.5599999999999999,0.48,0.63,0.05999999999999994,-0.07000000000000006,0.13
6,region_left_motor_strip,0.44,0.5,0.48,0.63,-0.03999999999999998,-0.13,0.09000000000000002
6,region_right_motor_strip,0.44,0.4899999999999999,0.48,0.63,-0.03999999999999998,-0.14000000000000012,0.10000000000000014
7,dropout_0.1,0.8905,0.999,1.0,1.0,-0.10950000000000004,-0.0010000000000000009,-0.10850000000000004
7,dropout_0.2,0.768,0.989,1.0,1.0,-0.23199999999999998,-0.01100000000000001,-0.22099999999999997
7,dropout_0.3,0.675,0.976,1.0,1.0,-0.32499999999999996,-0.02400000000000002,-0.30099999999999993
7,dropout_0.5,0.6559999999999999,0.863,1.0,1.0,-0.3440000000000001,-0.137,-0.20700000000000007
7,motor_core,0.96,0.96,1.0,1.0,-0.040000000000000036,-0.040000000000000036,0.0
7,motor_extended,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,region_midline_motor_strip,0.94,1.0,1.0,1.0,-0.06000000000000005,0.0,-0.06000000000000005
7,region_left_motor_strip,0.99,1.0,1.0,1.0,-0.010000000000000009,0.0,-0.010000000000000009
7,region_right_motor_strip,0.96,0.98,1.0,1.0,-0.040000000000000036,-0.020000000000000018,-0.020000000000000018
8,dropout_0.1,0.5505,0.5379999999999999,0.65,0.6599999999999999,-0.09950000000000003,-0.122,0.022499999999999964
8,dropout_0.2,0.46,0.489,0.65,0.6599999999999999,-0.19,-0.17099999999999993,-0.019000000000000072
8,dropout_0.3,0.4675,0.467,0.65,0.6599999999999999,-0.1825,-0.1929999999999999,0.010499999999999898
8,dropout_0.5,0.493,0.3979999999999999,0.65,0.6599999999999999,-0.15700000000000003,-0.262,0.10499999999999998
8,motor_core,0.7,0.67,0.65,0.6599999999999999,0.04999999999999993,0.01000000000000012,0.039999999999999813
8,motor_extended,0.8,0.77,0.65,0.6599999999999999,0.15000000000000002,0.1100000000000001,0.039999999999999925
8,region_midline_motor_strip,0.55,0.62,0.65,0.6599999999999999,-0.09999999999999998,-0.039999999999999925,-0.06000000000000005
8,region_left_motor_strip,0.52,0.58,0.65,0.6599999999999999,-0.13,-0.07999999999999996,-0.050000000000000044
8,region_right_motor_strip,0.575,0.52,0.65,0.6599999999999999,-0.07500000000000007,-0.1399999999999999,0.06499999999999984
9,dropout_0.1,0.3495,0.4379999999999999,0.24,0.47,0.10949999999999999,-0.032000000000000084,0.14150000000000007
9,dropout_0.2,0.457,0.421,0.24,0.47,0.21700000000000003,-0.04899999999999999,0.266
9,dropout_0.3,0.4919999999999999,0.4369999999999999,0.24,0.47,0.2519999999999999,-0.033000000000000085,0.285
9,dropout_0.5,0.4965,0.4269999999999999,0.24,0.47,0.2565,-0.043000000000000094,0.2995000000000001
9,motor_core,0.6799999999999999,0.68,0.24,0.47,0.43999999999999995,0.21000000000000008,0.22999999999999987
9,motor_extended,0.7,0.6300000000000001,0.24,0.47,0.45999999999999996,0.16000000000000014,0.2999999999999998
9,region_midline_motor_strip,0.465,0.44,0.24,0.47,0.22500000000000003,-0.02999999999999997,0.255
9,region_left_motor_strip,0.3299999999999999,0.39,0.24,0.47,0.08999999999999991,-0.07999999999999996,0.16999999999999987
9,region_right_motor_strip,0.3099999999999999,0.41,0.24,0.47,0.0699999999999999,-0.06,0.1299999999999999
