dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.2,0.4679999999999999,0.4895,0.3497287438740812,0.3361188757305793,64,13.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.3,0.476,0.489,0.3569759933100567,0.3392273089168729,64,19.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.5,0.417,0.486,0.3999799184995795,0.3786243212147504,64,32.0
PhysionetMotorImagery,8,riemann_lr,clean,all_channels,0.0,0.66,0.62,0.2606153073495491,0.285719676507538,64,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_core,0.0,0.67,0.585,0.2385171333838806,0.1555230596505388,3,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_extended,0.0,0.77,0.7350000000000001,0.209631550172574,0.2244890500143326,9,0.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.046875,0.62,0.51,0.2986582934105536,0.3323468208932737,64,3.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.140625,0.55,0.5125,0.3294674365582833,0.3134110744217217,64,9.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.1,0.4379999999999999,0.4915,0.3680946204210385,0.3621261841620665,64,6.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.2,0.43,0.496,0.4096521533332043,0.4030014523481184,64,13.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.3,0.427,0.502,0.4179068769870774,0.4117724403506582,64,19.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.5,0.4429999999999999,0.502,0.4272806241435817,0.4225966698927741,64,32.0
PhysionetMotorImagery,9,riemann_lr,clean,all_channels,0.0,0.47,0.5599999999999999,0.273506908223275,0.2099706119502959,64,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_core,0.0,0.68,0.5549999999999999,0.2409861479201402,0.1170077945264985,3,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_extended,0.0,0.6300000000000001,0.635,0.2342335170762481,0.1759299745718357,9,0.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.046875,0.44,0.5,0.3583376879185481,0.3474854748942631,64,3.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.140625,0.4,0.5,0.3850745771478974,0.3814740525048626,64,9.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.1,0.519,0.498,0.2835893594362798,0.3005622513591652,64,6.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.2,0.506,0.489,0.3004928011969114,0.3108295063848985,64,13.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.3,0.51,0.507,0.2947055069715706,0.2773991015471472,64,19.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.5,0.489,0.4865,0.3148517776622031,0.2951419925251622,64,32.0
PhysionetMotorImagery,10,riemann_lr,clean,all_channels,0.0,0.58,0.5900000000000001,0.2483084564545776,0.3285814654902215,64,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_core,0.0,0.79,0.745,0.2031819136907523,0.2717333087678794,3,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_extended,0.0,0.8800000000000001,0.765,0.1757193181485092,0.2865050653436546,9,0.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.046875,0.47,0.52,0.2743611043934286,0.3297260682770233,64,3.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.140625,0.495,0.5,0.2792273677729798,0.299903730563697,64,9.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.1,0.7040000000000001,0.5965,0.2745588960705569,0.3122004775345647,64,6.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.2,0.635,0.54,0.3269722946824324,0.3484846931970439,64,13.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.3,0.635,0.547,0.3449541270919649,0.3626420347924104,64,19.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.5,0.5479999999999999,0.526,0.3965126664749047,0.4027301673174005,64,32.0
PhysionetMotorImagery,11,riemann_lr,clean,all_channels,0.0,0.74,0.685,0.1964568402492473,0.2889519857849721,64,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_core,0.0,0.47,0.465,0.2563135227668094,0.1398295928230653,3,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_extended,0.0,0.44,0.45,0.2606265644305906,0.2882111506304848,9,0.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.046875,0.76,0.71,0.2095755780894395,0.3100484590517868,64,3.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.140625,0.77,0.6975,0.2172111374492232,0.2765168726515043,64,9.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.1,0.784,0.578,0.2693748591779918,0.3548204304294012,64,6.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.2,0.755,0.5539999999999999,0.308006233133619,0.3638142447812856,64,13.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.3,0.7559999999999999,0.51,0.3300797285834422,0.3640866287396996,64,19.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.5,0.706,0.486,0.380413631787653,0.3878811680061699,64,32.0
PhysionetMotorImagery,12,riemann_lr,clean,all_channels,0.0,0.8,0.775,0.1894788324951841,0.3177915160860081,64,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_core,0.0,0.62,0.5650000000000001,0.2559891148659138,0.2442128949660344,3,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_extended,0.0,0.78,0.6849999999999999,0.2165600345139606,0.3258027876319814,9,0.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.046875,0.79,0.7150000000000001,0.2062666866399013,0.3158784522111781,64,3.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.140625,0.765,0.5,0.3789444522224238,0.4270521063820135,64,9.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.1,0.695,0.5825,0.2676555645445597,0.3216652874800975,64,6.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.2,0.6509999999999999,0.5479999999999999,0.3298482367934067,0.371057129918428,64,13.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.3,0.669,0.524,0.3317874615373077,0.3628871893866309,64,19.0
PhysionetMotorImagery,13,riemann_lr,channel_dropout,all_channels,0.5,0.6030000000000001,0.5255,0.3639413310324355,0.378871754062944,64,32.0
PhysionetMotorImagery,13,riemann_lr,clean,all_channels,0.0,0.6900000000000001,0.7,0.2149154912134852,0.2800237297774253,64,0.0
PhysionetMotorImagery,13,riemann_lr,reduced_montage,motor_core,0.0,0.6799999999999999,0.75,0.2238552984927379,0.2487968210056176,3,0.0
PhysionetMotorImagery,13,riemann_lr,reduced_montage,motor_extended,0.0,0.8,0.73,0.1871206365880783,0.2426975040240244,9,0.0
PhysionetMotorImagery,13,riemann_lr,region_dropout,all_channels,0.046875,0.6900000000000001,0.5900000000000001,0.2341118831292053,0.2796926544199876,64,3.0
PhysionetMotorImagery,13,riemann_lr,region_dropout,all_channels,0.140625,0.615,0.5875,0.3275324723022745,0.353027656879172,64,9.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.1,0.539,0.52,0.3216364943351398,0.3290116055338618,64,6.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.2,0.55,0.5305,0.3415499061460598,0.3409655936024919,64,13.0
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.3,0.562,0.516,0.3599065587359393,0.3502049269534446,64,19.0
